"region","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"Piedmont",22,15,29980,0.5,10,6.68,1,0.3,2,0.11,2,0.27
"Aosta Valley",0,0,0,0,0,0,0,0,0,0,0,0
"Lombardy",99,56,138402,0.4,11,0.9,8,0.37,30,1.28,7,0.25
"AP Bolzano",8,7,12760,0.55,1,2.12,1,0.42,5,0.68,0,0
"AP Trento",7,6,9365,0.64,1,1.59,1,0.72,4,0.74,0,0
"Veneto",80,22,106570,0.21,1,0.14,1,0.08,19,0.31,1,0.04
"Friuli-Venezia Giulia",9,3,12026,0.25,0,0,0,0,3,1.31,0,0
"Liguria",31,5,37894,0.13,1,0.41,0,0,4,0.48,0,0
"Emilia Romagna",21,18,28214,0.64,5,3.08,3,0.86,10,0.62,0,0
"Tuscany",37,10,48008,0.21,1,0.34,1,0.15,6,0.69,2,0.19
"Umbria",5,0,6339,0,0,0,0,0,0,0,0,0
"Marche",2,4,3131,1.28,0,0,0,0,4,1.88,0,0
"Lazio",64,31,83874,0.37,3,0.78,4,0.47,21,0.39,3,0.17
"Abruzzo",9,7,8945,0.78,1,1.19,4,2.22,2,1.86,0,0
"Molise",5,2,6363,0.31,0,0,1,1.77,1,0.25,0,0
"Campania",22,35,29912,1.17,0,0,3,0.64,26,1.42,6,1.34
"Apulia",51,17,62686,0.27,3,0.71,1,0.13,11,0.77,2,0.17
"Basilicata",1,0,1054,0,0,0,0,0,0,0,0,0
"Calabria",3,7,3925,1.78,5,16.61,1,1.19,1,1.08,0,0
"Siciliy",41,64,54437,1.18,3,9.52,7,3.42,36,2.48,18,1.41
"Sardinia",4,1,3648,0.27,0,0,0,0,1,0.53,0,0
