"year_week","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2019-42",1163,1582,1479582,1.07,83609,241,2.88,200566,189,0.94,854548,923,1.08,340859,229,0.67
"2019-43",1162,1722,1478502,1.16,84750,249,2.94,202567,205,1.01,851845,1001,1.18,339340,267,0.79
"2019-44",1174,1721,1496093,1.15,84304,201,2.38,201976,156,0.77,864428,1080,1.25,345385,284,0.82
"2019-45",1174,2613,1495138,1.75,85494,289,3.38,204093,296,1.45,861900,1635,1.9,343651,393,1.14
"2019-46",1177,3227,1499752,2.15,85427,359,4.2,204196,409,2,865038,2019,2.33,345091,440,1.28
"2019-47",1179,3572,1502521,2.38,85887,407,4.74,204899,467,2.28,866152,2168,2.5,345583,530,1.53
"2019-48",1179,3596,1503993,2.39,85879,434,5.05,204857,485,2.37,867449,2210,2.55,345808,467,1.35
"2019-49",1176,4509,1498767,3.01,85875,593,6.91,203376,635,3.12,864507,2764,3.2,345009,517,1.5
"2019-50",1174,5225,1496650,3.49,85875,726,8.45,203243,814,4.01,862908,3083,3.57,344624,602,1.75
"2019-51",1166,6249,1486710,4.2,84984,950,11.18,200861,1229,6.12,858311,3404,3.97,342554,666,1.94
"2019-52",1149,5760,1469174,3.92,80743,817,10.12,192531,940,4.88,854993,3289,3.85,340907,714,2.09
"2020-01",1154,7273,1474136,4.93,81790,867,10.6,196230,1031,5.25,854972,4429,5.18,341144,946,2.77
"2020-02",1156,9723,1475168,6.59,84380,1003,11.89,199181,1497,7.52,851339,6024,7.08,340268,1199,3.52
"2020-03",1154,12480,1474410,8.46,83873,1827,21.78,197914,2521,12.74,851494,6889,8.09,341129,1243,3.64
"2020-04",1146,15626,1465621,10.66,82385,2541,30.84,194751,4109,21.1,848165,7752,9.14,340320,1224,3.6
"2020-05",1134,18320,1452048,12.62,81938,3141,38.33,193647,5372,27.74,839320,8418,10.03,337143,1389,4.12
"2020-06",1121,17374,1435252,12.11,81014,2969,36.65,192303,5289,27.5,829621,7806,9.41,332314,1310,3.94
"2020-07",1108,15241,1421338,10.72,80352,2749,34.21,191894,4345,22.64,820159,7037,8.58,328933,1110,3.37
"2020-08",1053,12365,1351753,9.15,77349,2218,28.68,183891,3512,19.1,778436,5661,7.27,312077,974,3.12
"2020-09",1000,9213,1280869,7.19,73312,1417,19.33,173829,2296,13.21,738251,4753,6.44,295477,747,2.53
"2020-10",945,6479,1210061,5.35,68657,783,11.4,163944,1097,6.69,697608,3975,5.7,279852,624,2.23
"2020-11",888,4615,1138181,4.05,64929,353,5.44,154938,460,2.97,655709,3243,4.95,262605,559,2.13
"2020-12",839,3013,1080360,2.79,60867,173,2.84,146732,209,1.42,623072,2202,3.53,249689,429,1.72
"2020-13",780,1715,1003446,1.71,54360,85,1.56,131438,106,0.81,584142,1266,2.17,233506,258,1.1
"2020-14",752,1079,967360,1.12,52680,43,0.82,127046,72,0.57,562417,792,1.41,225217,172,0.76
"2020-15",707,665,906719,0.73,50709,35,0.69,121519,40,0.33,525114,476,0.91,209377,114,0.54
"2020-16",664,482,856867,0.56,46003,20,0.43,109232,20,0.18,501763,361,0.72,199869,81,0.41
"2020-17",588,314,754442,0.42,40928,26,0.64,95761,22,0.23,442331,200,0.45,175422,66,0.38
