"year_week","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2014-46","FLU A",66,1
"2014-46","A",66,0
"2014-46","A(H3N2)",66,1
"2014-46","A(H1N1) pdm09",66,0
"2014-46","FLU B",66,0
"2014-47","FLU A",58,4
"2014-47","A",58,0
"2014-47","A(H3N2)",58,1
"2014-47","A(H1N1) pdm09",58,3
"2014-47","FLU B",58,0
"2014-48","FLU A",60,0
"2014-48","A",60,0
"2014-48","A(H3N2)",60,0
"2014-48","A(H1N1) pdm09",60,0
"2014-48","FLU B",60,0
"2014-49","FLU A",85,6
"2014-49","A",85,0
"2014-49","A(H3N2)",85,2
"2014-49","A(H1N1) pdm09",85,4
"2014-49","FLU B",85,0
"2014-50","FLU A",85,15
"2014-50","A",85,1
"2014-50","A(H3N2)",85,5
"2014-50","A(H1N1) pdm09",85,9
"2014-50","FLU B",85,2
"2014-51","FLU A",132,40
"2014-51","A",132,2
"2014-51","A(H3N2)",132,11
"2014-51","A(H1N1) pdm09",132,27
"2014-51","FLU B",132,0
"2014-52","FLU A",51,25
"2014-52","A",51,0
"2014-52","A(H3N2)",51,7
"2014-52","A(H1N1) pdm09",51,18
"2014-52","FLU B",51,2
"2015-01","FLU A",174,85
"2015-01","A",174,10
"2015-01","A(H3N2)",174,12
"2015-01","A(H1N1) pdm09",174,63
"2015-01","FLU B",174,5
"2015-02","FLU A",377,186
"2015-02","A",377,12
"2015-02","A(H3N2)",377,29
"2015-02","A(H1N1) pdm09",377,145
"2015-02","FLU B",377,7
"2015-03","FLU A",617,384
"2015-03","A",617,11
"2015-03","A(H3N2)",617,108
"2015-03","A(H1N1) pdm09",617,265
"2015-03","FLU B",617,17
"2015-04","FLU A",878,514
"2015-04","A",878,36
"2015-04","A(H3N2)",878,158
"2015-04","A(H1N1) pdm09",878,320
"2015-04","FLU B",878,19
"2015-05","FLU A",835,486
"2015-05","A",835,23
"2015-05","A(H3N2)",835,206
"2015-05","A(H1N1) pdm09",835,257
"2015-05","FLU B",835,40
"2015-06","FLU A",762,438
"2015-06","A",762,27
"2015-06","A(H3N2)",762,212
"2015-06","A(H1N1) pdm09",762,199
"2015-06","FLU B",762,47
"2015-07","FLU A",841,332
"2015-07","A",841,25
"2015-07","A(H3N2)",841,179
"2015-07","A(H1N1) pdm09",841,128
"2015-07","FLU B",841,45
"2015-08","FLU A",702,220
"2015-08","A",702,18
"2015-08","A(H3N2)",702,137
"2015-08","A(H1N1) pdm09",702,65
"2015-08","FLU B",702,45
"2015-09","FLU A",556,137
"2015-09","A",556,19
"2015-09","A(H3N2)",556,88
"2015-09","A(H1N1) pdm09",556,30
"2015-09","FLU B",556,64
"2015-10","FLU A",438,94
"2015-10","A",438,13
"2015-10","A(H3N2)",438,49
"2015-10","A(H1N1) pdm09",438,32
"2015-10","FLU B",438,70
"2015-11","FLU A",321,54
"2015-11","A",321,11
"2015-11","A(H3N2)",321,27
"2015-11","A(H1N1) pdm09",321,16
"2015-11","FLU B",321,61
"2015-12","FLU A",267,34
"2015-12","A",267,5
"2015-12","A(H3N2)",267,21
"2015-12","A(H1N1) pdm09",267,8
"2015-12","FLU B",267,51
"2015-13","FLU A",278,29
"2015-13","A",278,7
"2015-13","A(H3N2)",278,15
"2015-13","A(H1N1) pdm09",278,7
"2015-13","FLU B",278,50
"2015-14","FLU A",183,15
"2015-14","A",183,2
"2015-14","A(H3N2)",183,9
"2015-14","A(H1N1) pdm09",183,4
"2015-14","FLU B",183,35
"2015-15","FLU A",149,6
"2015-15","A",149,3
"2015-15","A(H3N2)",149,2
"2015-15","A(H1N1) pdm09",149,1
"2015-15","FLU B",149,22
"2015-16","FLU A",142,6
"2015-16","A",142,1
"2015-16","A(H3N2)",142,1
"2015-16","A(H1N1) pdm09",142,4
"2015-16","FLU B",142,15
"2015-17","FLU A",105,1
"2015-17","A",105,0
"2015-17","A(H3N2)",105,0
"2015-17","A(H1N1) pdm09",105,1
"2015-17","FLU B",105,3
