"Region_ID","Region_Name","Region_Lat","Region_Lon","Age_Group","Vaccination_Coverage","Season","Source_File"
1,"Piemonte",45.0732745,7.680687483,"6_23 mesi","0.3","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"6_23 mesi","0.2","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"6_23 mesi","0.5","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"6_23 mesi","0.5","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
22,"Trento",46.06893511,11.12123097,"6_23 mesi","2.2","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
5,"Veneto",45.43490485,12.33845213,"6_23 mesi","1.1","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"6_23 mesi","0.3","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
7,"Liguria",44.41149315,8.9326992,"6_23 mesi","1","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
8,"Emilia-Romagna",44.49436681,11.3417208,"6_23 mesi","1.2","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
9,"Toscana",43.76923077,11.25588885,"6_23 mesi","4.8","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
10,"Umbria",43.10675841,12.38824698,"6_23 mesi","0.1","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
13,"Marche",43.61675973,13.5188753,"6_23 mesi","0.6","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
12,"Lazio",41.89277044,12.48366722,"6_23 mesi","0.5","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
13,"Abruzzo",42.35122196,13.39843823,"6_23 mesi","0.3","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
14,"Molise",41.55774754,14.65916051,"6_23 mesi","0.2","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
15,"Campania",40.83956555,14.25084984,"6_23 mesi","2.7","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
16,"Puglia",41.12559576,16.86736689,"6_23 mesi","4.2","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
17,"Basilicata",40.63947052,15.80514834,"6_23 mesi","0.5","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
18,"Calabria",38.90597598,16.59440194,"6_23 mesi","0.8","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
19,"Sicilia",38.11569725,13.3623566999999,"6_23 mesi","1","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
20,"Sardegna",39.21531192,9.110616306,"6_23 mesi","1.5","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
NA,"Italia",41.1698638,7.4272648,"6_23 mesi","1.4","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"2_4","0.6","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"2_4","0.6","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"2_4","1.1","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"2_4","0.5","2017/2018","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_4_file.pdf"
