"year_week","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"15-21 novembre 2021","FLU A",280,259,2
"15-21 novembre 2021","A",280,259,0
"15-21 novembre 2021","A(H3N2)",280,259,2
"15-21 novembre 2021","A(H1N1)pdm2009",280,259,0
"15-21 novembre 2021","FLU B",280,259,1
"15-21 novembre 2021","Positivi al SARS-CoV-2",280,259,10
"22-28 novembre 2021","FLU A",631,589,3
"22-28 novembre 2021","A",631,589,0
"22-28 novembre 2021","A(H3N2)",631,589,3
"22-28 novembre 2021","A(H1N1)pdm2009",631,589,0
"22-28 novembre 2021","FLU B",631,589,0
"22-28 novembre 2021","Positivi al SARS-CoV-2",631,589,155
"29 novembre-5 dicembre 2021","FLU A",513,484,1
"29 novembre-5 dicembre 2021","A",513,484,1
"29 novembre-5 dicembre 2021","A(H3N2)",513,484,0
"29 novembre-5 dicembre 2021","A(H1N1)pdm2009",513,484,0
"29 novembre-5 dicembre 2021","FLU B",513,484,0
"29 novembre-5 dicembre 2021","Positivi al SARS-CoV-2",513,484,106
"6-12 dicembre 2021","FLU A",409,396,3
"6-12 dicembre 2021","A",409,396,0
"6-12 dicembre 2021","A(H3N2)",409,396,3
"6-12 dicembre 2021","A(H1N1)pdm2009",409,396,0
"6-12 dicembre 2021","FLU B",409,396,2
"6-12 dicembre 2021","Positivi al SARS-CoV-2",409,396,72
"13-19 dicembre 2021","FLU A",396,387,3
"13-19 dicembre 2021","A",396,387,0
"13-19 dicembre 2021","A(H3N2)",396,387,3
"13-19 dicembre 2021","A(H1N1)pdm2009",396,387,0
"13-19 dicembre 2021","FLU B",396,387,1
"13-19 dicembre 2021","Positivi al SARS-CoV-2",396,387,80
"20-26 dicembre 2021","FLU A",318,287,11
"20-26 dicembre 2021","A",318,287,1
"20-26 dicembre 2021","A(H3N2)",318,287,9
"20-26 dicembre 2021","A(H1N1)pdm2009",318,287,1
"20-26 dicembre 2021","FLU B",318,287,1
"20-26 dicembre 2021","Positivi al SARS-CoV-2",318,287,60
"27 dicembre 2021-2 gennaio 2022","FLU A",399,389,4
"27 dicembre 2021-2 gennaio 2022","A",399,389,0
"27 dicembre 2021-2 gennaio 2022","A(H3N2)",399,389,3
"27 dicembre 2021-2 gennaio 2022","A(H1N1)pdm2009",399,389,1
"27 dicembre 2021-2 gennaio 2022","FLU B",399,389,0
"27 dicembre 2021-2 gennaio 2022","Positivi al SARS-CoV-2",399,389,164
"3-9 gennaio 2022","FLU A",496,480,10
"3-9 gennaio 2022","A",496,480,1
"3-9 gennaio 2022","A(H3N2)",496,480,9
"3-9 gennaio 2022","A(H1N1)pdm2009",496,480,0
"3-9 gennaio 2022","FLU B",496,480,0
"3-9 gennaio 2022","Positivi al SARS-CoV-2",496,480,232
"10-16 gennaio 2022","FLU A",303,287,5
"10-16 gennaio 2022","A",303,287,0
"10-16 gennaio 2022","A(H3N2)",303,287,4
"10-16 gennaio 2022","A(H1N1)pdm2009",303,287,1
"10-16 gennaio 2022","FLU B",303,287,0
"10-16 gennaio 2022","Positivi al SARS-CoV-2",303,287,110
"17-23 gennaio 2022","FLU A",542,527,8
