"year_week","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2015-46","FLU A",101,0
"2015-46","A",101,0
"2015-46","A(H3N2)",101,0
"2015-46","A(H1N1) pdm09",101,0
"2015-46","FLU B",101,0
"2015-47","FLU A",111,0
"2015-47","A",111,0
"2015-47","A(H3N2)",111,0
"2015-47","A(H1N1) pdm09",111,0
"2015-47","FLU B",111,0
"2015-48","FLU A",114,1
"2015-48","A",114,0
"2015-48","A(H3N2)",114,1
"2015-48","A(H1N1) pdm09",114,0
"2015-48","FLU B",114,0
"2015-49","FLU A",146,2
"2015-49","A",146,1
"2015-49","A(H3N2)",146,1
"2015-49","A(H1N1) pdm09",146,0
"2015-49","FLU B",146,2
"2015-50","FLU A",150,3
"2015-50","A",150,0
"2015-50","A(H3N2)",150,2
"2015-50","A(H1N1) pdm09",150,1
"2015-50","FLU B",150,0
"2015-51","FLU A",166,6
"2015-51","A",166,0
"2015-51","A(H3N2)",166,2
"2015-51","A(H1N1) pdm09",166,4
"2015-51","FLU B",166,1
"2015-52","FLU A",116,10
"2015-52","A",116,0
"2015-52","A(H3N2)",116,3
"2015-52","A(H1N1) pdm09",116,7
"2015-52","FLU B",116,0
"2015-53","FLU A",123,11
"2015-53","A",123,1
"2015-53","A(H3N2)",123,6
"2015-53","A(H1N1) pdm09",123,4
"2015-53","FLU B",123,0
"2016-01","FLU A",210,11
"2016-01","A",210,2
"2016-01","A(H3N2)",210,6
"2016-01","A(H1N1) pdm09",210,3
"2016-01","FLU B",210,3
"2016-02","FLU A",255,27
"2016-02","A",255,5
"2016-02","A(H3N2)",255,7
"2016-02","A(H1N1) pdm09",255,15
"2016-02","FLU B",255,19
"2016-03","FLU A",307,30
"2016-03","A",307,1
"2016-03","A(H3N2)",307,13
"2016-03","A(H1N1) pdm09",307,16
"2016-03","FLU B",307,34
"2016-04","FLU A",463,78
"2016-04","A",463,9
"2016-04","A(H3N2)",463,40
"2016-04","A(H1N1) pdm09",463,29
"2016-04","FLU B",463,102
"2016-05","FLU A",530,95
"2016-05","A",530,7
"2016-05","A(H3N2)",530,49
"2016-05","A(H1N1) pdm09",530,39
"2016-05","FLU B",530,133
"2016-06","FLU A",638,119
"2016-06","A",638,5
"2016-06","A(H3N2)",638,74
"2016-06","A(H1N1) pdm09",638,40
"2016-06","FLU B",638,137
"2016-07","FLU A",577,107
"2016-07","A",577,5
"2016-07","A(H3N2)",577,73
"2016-07","A(H1N1) pdm09",577,29
"2016-07","FLU B",577,154
"2016-08","FLU A",629,123
"2016-08","A",629,6
"2016-08","A(H3N2)",629,81
"2016-08","A(H1N1) pdm09",629,36
"2016-08","FLU B",629,197
"2016-09","FLU A",544,105
"2016-09","A",544,11
"2016-09","A(H3N2)",544,54
"2016-09","A(H1N1) pdm09",544,40
"2016-09","FLU B",544,152
"2016-10","FLU A",519,82
"2016-10","A",519,6
"2016-10","A(H3N2)",519,59
"2016-10","A(H1N1) pdm09",519,17
"2016-10","FLU B",519,110
"2016-11","FLU A",396,77
"2016-11","A",396,4
"2016-11","A(H3N2)",396,47
"2016-11","A(H1N1) pdm09",396,26
"2016-11","FLU B",396,116
"2016-12","FLU A",315,51
"2016-12","A",315,5
"2016-12","A(H3N2)",315,26
"2016-12","A(H1N1) pdm09",315,20
"2016-12","FLU B",315,86
"2016-13","FLU A",252,42
"2016-13","A",252,14
"2016-13","A(H3N2)",252,15
"2016-13","A(H1N1) pdm09",252,13
"2016-13","FLU B",252,71
"2016-14","FLU A",234,32
"2016-14","A",234,7
"2016-14","A(H3N2)",234,11
"2016-14","A(H1N1) pdm09",234,14
"2016-14","FLU B",234,35
"2016-15","FLU A",208,24
"2016-15","A",208,1
"2016-15","A(H3N2)",208,17
"2016-15","A(H1N1) pdm09",208,6
"2016-15","FLU B",208,31
"2016-16","FLU A",164,7
"2016-16","A",164,3
"2016-16","A(H3N2)",164,3
"2016-16","A(H1N1) pdm09",164,1
"2016-16","FLU B",164,19
