"year_week","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2017-46","FLU A",120,0
"2017-46","A",120,0
"2017-46","A(H3N2)",120,0
"2017-46","A(H1N1) pdm09",120,0
"2017-46","FLU B",120,2
"2017-47","FLU A",158,1
"2017-47","A",158,0
"2017-47","A(H3N2)",158,0
"2017-47","A(H1N1) pdm09",158,1
"2017-47","FLU B",158,7
"2017-48","FLU A",163,10
"2017-48","A",163,2
"2017-48","A(H3N2)",163,1
"2017-48","A(H1N1) pdm09",163,7
"2017-48","FLU B",163,18
"2017-49","FLU A",178,13
"2017-49","A",178,0
"2017-49","A(H3N2)",178,4
"2017-49","A(H1N1) pdm09",178,9
"2017-49","FLU B",178,27
"2017-50","FLU A",292,48
"2017-50","A",292,1
"2017-50","A(H3N2)",292,9
"2017-50","A(H1N1) pdm09",292,38
"2017-50","FLU B",292,74
"2017-51","FLU A",184,75
"2017-51","A",184,3
"2017-51","A(H3N2)",184,6
"2017-51","A(H1N1) pdm09",184,66
"2017-51","FLU B",184,132
"2017-52","FLU A",286,160
"2017-52","A",286,10
"2017-52","A(H3N2)",286,9
"2017-52","A(H1N1) pdm09",286,141
"2017-52","FLU B",286,251
"2018-01","FLU A",640,211
"2018-01","A",640,9
"2018-01","A(H3N2)",640,10
"2018-01","A(H1N1) pdm09",640,192
"2018-01","FLU B",640,409
"2018-02","FLU A",1211,277
"2018-02","A",1211,8
"2018-02","A(H3N2)",1211,13
"2018-02","A(H1N1) pdm09",1211,256
"2018-02","FLU B",1211,570
"2018-03","FLU A",1119,225
"2018-03","A",1119,8
"2018-03","A(H3N2)",1119,15
"2018-03","A(H1N1) pdm09",1119,202
"2018-03","FLU B",1119,455
"2018-04","FLU A",1029,205
"2018-04","A",1029,12
"2018-04","A(H3N2)",1029,13
"2018-04","A(H1N1) pdm09",1029,180
"2018-04","FLU B",1029,373
"2018-05","FLU A",1017,197
"2018-05","A",1017,13
"2018-05","A(H3N2)",1017,6
"2018-05","A(H1N1) pdm09",1017,178
"2018-05","FLU B",1017,343
"2018-06","FLU A",859,161
"2018-06","A",859,7
"2018-06","A(H3N2)",859,5
"2018-06","A(H1N1) pdm09",859,149
"2018-06","FLU B",859,193
"2018-07","FLU A",797,158
"2018-07","A",797,5
"2018-07","A(H3N2)",797,8
"2018-07","A(H1N1) pdm09",797,145
"2018-07","FLU B",797,143
"2018-08","FLU A",787,156
"2018-08","A",787,6
"2018-08","A(H3N2)",787,8
"2018-08","A(H1N1) pdm09",787,142
"2018-08","FLU B",787,121
"2018-09","FLU A",604,87
"2018-09","A",604,4
"2018-09","A(H3N2)",604,6
"2018-09","A(H1N1) pdm09",604,77
"2018-09","FLU B",604,81
"2018-10","FLU A",556,67
"2018-10","A",556,3
"2018-10","A(H3N2)",556,2
"2018-10","A(H1N1) pdm09",556,62
"2018-10","FLU B",556,51
"2018-11","FLU A",348,49
"2018-11","A",348,1
"2018-11","A(H3N2)",348,2
"2018-11","A(H1N1) pdm09",348,46
"2018-11","FLU B",348,43
"2018-12","FLU A",308,27
"2018-12","A",308,1
"2018-12","A(H3N2)",308,1
"2018-12","A(H1N1) pdm09",308,25
"2018-12","FLU B",308,20
"2018-13","FLU A",205,17
"2018-13","A",205,2
"2018-13","A(H3N2)",205,3
"2018-13","A(H1N1) pdm09",205,12
"2018-13","FLU B",205,9
"2018-14","FLU A",171,13
"2018-14","A",171,0
"2018-14","A(H3N2)",171,1
"2018-14","A(H1N1) pdm09",171,12
"2018-14","FLU B",171,0
"2018-15","FLU A",165,7
"2018-15","A",165,2
"2018-15","A(H3N2)",165,0
"2018-15","A(H1N1) pdm09",165,5
"2018-15","FLU B",165,1
"2018-16","FLU A",107,4
"2018-16","A",107,1
"2018-16","A(H3N2)",107,0
"2018-16","A(H1N1) pdm09",107,3
"2018-16","FLU B",107,0
"2018-17","FLU A",58,3
"2018-17","A",58,0
"2018-17","A(H3N2)",58,0
"2018-17","A(H1N1) pdm09",58,3
"2018-17","FLU B",58,0
