"Region_ID","Region_Name","Region_Lat","Region_Lon","Age_Group","Vaccination_Coverage","Season","Source_File"
1,"Piemonte",45.0732745,7.680687483,"6_23 mesi","0.2","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"6_23 mesi","0.3","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"6_23 mesi","0.4","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"6_23 mesi","0.3","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
22,"Trento",46.06893511,11.12123097,"6_23 mesi","1.4","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
5,"Veneto",45.43490485,12.33845213,"6_23 mesi","0.8","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"6_23 mesi","0.1","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
7,"Liguria",44.41149315,8.9326992,"6_23 mesi","1","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
8,"Emilia-Romagna",44.49436681,11.3417208,"6_23 mesi","0.9","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
9,"Toscana",43.76923077,11.25588885,"6_23 mesi","5","2013/2014","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_8_file.pdf"
