"region","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"Piedmont",19,40,26278,1.52,7,8.87,6,300,19,1.16,8,1.13
"Aosta Valley",1,0,1330,0,0,0,0,0,0,0,0,0
"Lombardy",109,69,160288,0.43,16,1.56,15,0.65,32,1.18,6,0.16
"AP Bolzano",6,13,9345,1.39,5,15.02,1,0.77,7,1.23,0,0
"AP Trento",7,5,8804,0.57,1,1.69,2,1.33,2,0.42,0,0
"Veneto",54,24,70081,0.34,0,0,1,0.09,21,0.54,2,0.13
"Friuli-Venezia Giulia",11,20,13797,1.45,0,0,0,0,14,5.05,6,1.86
"Liguria",32,28,41739,0.67,2,1.39,7,2.18,16,2.16,3,0.25
"Emilia Romagna",9,7,11471,0.61,2,3.55,0,0,4,0.58,1,0.35
"Tuscany",41,16,54251,0.29,1,0.44,4,0.82,6,0.42,5,0.35
"Umbria",4,0,4147,0,0,0,0,0,0,0,0,0
"Marche",1,1,1533,0.65,0,0,0,0,1,0.88,0,0
"Lazio",69,25,92773,0.27,2,0.9,3,0.45,18,0.29,2,0.09
"Abruzzo",30,20,33127,0.6,6,2.21,5,0.79,7,1.17,2,0.32
"Molise",0,0,0,0,0,0,0,0,0,0,0,0
"Campania",15,20,16920,1.18,0,0,1,0.31,17,1.67,2,1.12
"Apulia",70,42,88839,0.47,6,1.22,1,0.1,27,1.69,8,0.43
"Basilicata",0,0,0,0,0,0,0,0,0,0,0,0
"Calabria",0,0,0,0,0,0,0,0,0,0,0,0
"Siciliy",45,62,58620,1.06,1,1.63,0,0,47,3.84,14,0.91
"Sardinia",8,0,9311,0,0,0,0,0,0,0,0,0
