"region","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"Piedmont",29,60,40557,1.48,8,9.33,7,2.54,39,1.49,6,0.56
"Aosta Valley",3,0,3481,0,0,0,0,0,0,0,0,0
"Lombardy",68,132,96054,1.37,0.14,2.4,10,0.74,93,1.68,15,0.7
"AP Bolzano",4,0,6067,0,0,0,0,0,0,0,0,0
"AP Trento",5,0,6699,0,0,0,0,0,0,0,0,0
"Veneto",50,5,62445,0.08,0,0,1,0.1,4,0.11,0,0
"Friuli-Venezia Giulia",8,0,9112,0,0,0,0,0,0,0,0,0
"Liguria",16,27,21859,1.24,2,3.57,2,1.18,18,1.39,5,0.76
"Emilia Romagna",46,73,62467,1.17,7,1.74,7,0.7,50,1.47,9,0.62
"Tuscany",28,27,36789,0.73,3,1.73,4,0.89,13,0.61,7,0.75
"Umbria",4,0,3.998,0,0,0,0,0,0,0,0,0
"Marche",9,17,13125,1.3,0,0,0,0,15,1.75,2,0.61
"Lazio",98,72,124905,0.58,10,1.92,11,0.81,46,0.59,5,0.18
"Abruzzo",22,37,25098,1.47,3,2.14,6,2.18,21,1.4,7,1.18
"Molise",0,0,0,0,0,0,0,0,0,0,0,0
"Campania",33,29,43081,0.67,3,0.83,5,0.72,17,0.66,4,0.58
"Apulia",91,99,116230,0.85,24,4.45,26,1.98,38,0.52,11,0.45
"Basilicata",2,0,1866,0,0,0,0,0,0,0,0,0
"Calabria",1,0,717,0,0,0,0,0,0,0,0,0
"Siciliy",77,164,98017,1.67,8,4.15,23,3.99,116,1.76,17,0.7
"Sardinia",15,5,17675,0.28,0,0,0,0,3,0.39,2,0.61
