"year_week","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2024-42",1716,13701,2303418,"5.95",123803,1363,"11.01",298243,1207,"4.05",1336229,8756,"6.55",545143,2375,"4.36"
"2024-43",1723,13508,2309675,"5.85",124794,1443,"11.56",300132,1295,"4.31",1338838,8528,"6.37",545911,2242,"4.11"
"2024-44",1737,12926,2325832,"5.56",125339,1358,"10.83",301612,1295,"4.29",1348548,8047,"5.97",550333,2226,"4.04"
"2024-45",1763,16089,2359261,"6.82",127442,1749,"13.72",306082,1859,"6.07",1367692,9959,"7.28",558045,2522,"4.52"
"2024-46",1781,17646,2384956,"7.4",129050,1996,"15.47",309703,2208,"7.13",1382571,10660,"7.71",563632,2782,"4.94"
"2024-47",1785,19236,2395263,"8.03",128861,2274,"17.65",309166,2427,"7.85",1390355,11590,"8.34",566881,2945,"5.2"
"2024-48",1778,20400,2386881,"8.55",129828,2476,"19.07",311325,2609,"8.38",1382110,12286,"8.89",563618,3029,"5.37"
"2024-49",1783,21637,2391927,"9.05",129539,2622,"20.24",310311,3041,"9.8",1386735,12863,"9.28",565342,3111,"5.5"
"2024-50",1786,24376,2393190,"10.19",130049,3111,"23.92",310843,3416,"10.99",1386398,14407,"10.39",565900,3442,"6.08"
"2024-51",1775,25545,2378387,"10.74",129594,3406,"26.28",309302,3702,"11.97",1377800,14755,"10.71",561691,3682,"6.56"
"2024-52",1726,24340,2312549,"10.53",124005,2737,"22.07",297451,3345,"11.25",1344260,14369,"10.69",546833,3889,"7.11"
"2025-01",1750,28972,2342169,"12.37",125822,2867,"22.79",300883,3395,"11.28",1360568,17833,"13.11",554896,4877,"8.79"
"2025-02",1789,35812,2395371,"14.95",131057,3479,"26.55",312387,4352,"13.93",1385914,22533,"16.26",566013,5448,"9.63"
"2025-03",1787,38365,2390170,"16.05",131125,4660,"35.54",312384,5790,"18.53",1382736,22761,"16.46",563925,5154,"9.14"
"2025-04",1780,41370,2381102,"17.37",130572,5708,"43.72",311181,7280,"23.39",1377977,23321,"16.92",561372,5061,"9.02"
"2025-05",1778,40006,2378046,"16.82",130912,5739,"43.84",311956,7152,"22.93",1375072,22429,"16.31",560106,4686,"8.37"
"2025-06",1766,36009,2360177,"15.26",129866,5222,"40.21",309882,6383,"20.6",1364870,20002,"14.65",555559,4402,"7.92"
"2025-07",1758,33438,2349010,"14.23",130287,4609,"35.38",310899,5880,"18.91",1355894,18894,"13.93",551930,4055,"7.35"
"2025-08",1751,30591,2341299,"13.07",128565,4265,"33.17",307942,5302,"17.22",1353684,17279,"12.76",551108,3745,"6.8"
"2025-09",1739,26321,2326281,"11.31",128175,3631,"28.33",306327,4576,"14.94",1344706,14919,"11.09",547073,3195,"5.84"
"2025-10",1718,22514,2299121,"9.79",127313,3216,"25.26",304036,3689,"12.13",1327182,12849,"9.68",540590,2760,"5.11"
"2025-11",1704,19755,2280533,"8.66",125513,2770,"22.07",299964,3241,"10.8",1316997,11144,"8.46",538059,2600,"4.83"
"2025-12",1685,16885,2254620,"7.49",124173,2446,"19.7",296813,2619,"8.82",1301873,9636,"7.4",531761,2184,"4.11"
"2025-13",1650,15255,2210497,"6.9",122477,2193,"17.91",292398,2286,"7.82",1275498,8797,"6.9",520124,1979,"3.8"
"2025-14",1595,13103,2138740,"6.13",119045,1951,"16.39",285602,2018,"7.07",1231954,7484,"6.07",502139,1650,"3.29"
"2025-15",1532,11821,2054487,"5.75",114176,1664,"14.57",273091,1706,"6.25",1183384,6868,"5.8",483836,1583,"3.27"
"2025-16",1356,8909,1822090,"4.89",99084,1213,"12.24",241101,1195,"4.96",1051546,5236,"4.98",430359,1265,"2.94"
"2025-17",1133,5706,1521101,"3.75",81343,668,"8.21",198176,673,"3.4",880987,3511,"3.99",360595,854,"2.37"
