"year_week","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2013-46","FLU A",133,0
"2013-46","A",133,0
"2013-46","A(H3N2)",133,0
"2013-46","A(H1N1) pdm09",133,0
"2013-46","FLU B",133,0
"2013-47","FLU A",64,0
"2013-47","A",64,0
"2013-47","A(H3N2)",64,0
"2013-47","A(H1N1) pdm09",64,0
"2013-47","FLU B",64,0
"2013-48","FLU A",24,2
"2013-48","A",24,0
"2013-48","A(H3N2)",24,2
"2013-48","A(H1N1) pdm09",24,0
"2013-48","FLU B",24,0
"2013-49","FLU A",65,6
"2013-49","A",65,0
"2013-49","A(H3N2)",65,6
"2013-49","A(H1N1) pdm09",65,0
"2013-49","FLU B",65,0
"2013-50","FLU A",65,9
"2013-50","A",65,0
"2013-50","A(H3N2)",65,9
"2013-50","A(H1N1) pdm09",65,0
"2013-50","FLU B",65,0
"2013-51","FLU A",87,10
"2013-51","A",87,0
"2013-51","A(H3N2)",87,8
"2013-51","A(H1N1) pdm09",87,2
"2013-51","FLU B",87,0
"2013-52","FLU A",51,10
"2013-52","A",51,0
"2013-52","A(H3N2)",51,10
"2013-52","A(H1N1) pdm09",51,0
"2013-52","FLU B",51,1
"2014-01","FLU A",51,20
"2014-01","A",80,1
"2014-01","A(H3N2)",80,16
"2014-01","A(H1N1) pdm09",80,3
"2014-01","FLU B",80,0
"2014-02","FLU A",169,34
"2014-02","A",169,1
"2014-02","A(H3N2)",169,21
"2014-02","A(H1N1) pdm09",169,12
"2014-02","FLU B",169,1
"2014-03","FLU A",0,63
"2014-03","A",0,6
"2014-03","A(H3N2)",0,42
"2014-03","A(H1N1) pdm09",0,15
"2014-03","FLU B",0,3
"2014-04","FLU A",211,68
"2014-04","A",211,3
"2014-04","A(H3N2)",211,41
"2014-04","A(H1N1) pdm09",211,24
"2014-04","FLU B",211,3
"2014-05","FLU A",227,95
"2014-05","A",227,5
"2014-05","A(H3N2)",227,62
"2014-05","A(H1N1) pdm09",227,28
"2014-05","FLU B",227,1
"2014-06","FLU A",296,143
"2014-06","A",296,11
"2014-06","A(H3N2)",296,81
"2014-06","A(H1N1) pdm09",296,51
"2014-06","FLU B",296,6
"2014-07","FLU A",241,103
"2014-07","A",241,3
"2014-07","A(H3N2)",241,54
"2014-07","A(H1N1) pdm09",241,46
"2014-07","FLU B",241,4
"2014-08","FLU A",310,117
"2014-08","A",310,7
"2014-08","A(H3N2)",310,67
"2014-08","A(H1N1) pdm09",310,43
"2014-08","FLU B",310,3
"2014-09","FLU A",200,107
"2014-09","A",200,13
"2014-09","A(H3N2)",200,52
"2014-09","A(H1N1) pdm09",200,42
"2014-09","FLU B",200,4
"2014-10","FLU A",246,74
"2014-10","A",246,5
"2014-10","A(H3N2)",246,45
"2014-10","A(H1N1) pdm09",246,24
"2014-10","FLU B",246,6
"2014-11","FLU A",179,56
"2014-11","A",179,4
"2014-11","A(H3N2)",179,26
"2014-11","A(H1N1) pdm09",179,26
"2014-11","FLU B",179,2
"2014-12","FLU A",132,32
"2014-12","A",132,3
"2014-12","A(H3N2)",132,18
"2014-12","A(H1N1) pdm09",132,11
"2014-12","FLU B",132,0
"2014-13","FLU A",130,28
"2014-13","A",130,3
"2014-13","A(H3N2)",130,13
"2014-13","A(H1N1) pdm09",130,12
"2014-13","FLU B",130,0
"2014-14","FLU A",81,14
"2014-14","A",81,3
"2014-14","A(H3N2)",81,6
"2014-14","A(H1N1) pdm09",81,5
"2014-14","FLU B",81,0
"2014-15","FLU A",77,3
"2014-15","A",77,0
"2014-15","A(H3N2)",77,1
"2014-15","A(H1N1) pdm09",77,2
"2014-15","FLU B",77,0
"2014-16","FLU A",52,5
"2014-16","A",52,1
"2014-16","A(H3N2)",52,2
"2014-16","A(H1N1) pdm09",52,2
"2014-16","FLU B",52,0
"2014-17","FLU A",48,0
"2014-17","A",48,0
"2014-17","A(H3N2)",48,0
"2014-17","A(H1N1) pdm09",48,0
"2014-17","FLU B",48,0
