"region","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"Piedmont",34,63,47048,1.34,5,4.93,11,3.22,41,1.37,6,0.47
"Aosta Valley",5,1,6946,0.14,0,0,0,0,1,0.21,0,0
"Lombardy",92,92,130095,0.71,17,2.21,10,0.57,56,0.74,9,0.31
"AP Bolzano",7,10,10829,0.92,5,14.88,0,0,5,0.71,0,0
"AP Trento",8,8,10291,0.78,6,8.6,0,0,2,0.34,0,0
"Veneto",60,15,77029,0.19,0,0,0,0,12,0.27,3,0.17
"Friuli-Venezia Giulia",7,1,9390,0.11,1,0.91,0,0,0,0,0,0
"Liguria",15,12,18025,0.67,0,0,1,0.54,8,0.76,3,0.61
"Emilia Romagna",28,5,38301,0.13,0,0,0,0,5,0.23,0,0
"Tuscany",27,23,35319,0.65,2,2.55,2,0.91,15,0.67,4,0.4
"Umbria",3,0,3163,0,0,0,0,0,0,0,0,0
"Marche",16,4,18788,0.21,1,0.58,2,0.54,1,0.11,0,0
"Lazio",98,47,126348,0.37,3,0.55,5,0.37,28,0.35,11,0.39
"Abruzzo",25,132,30477,4.33,0,0,0,0,0,0,0,0
"Molise",5,0,4203,0,0,0,0,0,0,0,0,0
"Campania",33,14,41737,0.34,3,0.83,3,0.42,7,0.29,1,0.15
"Apulia",107,36,137079,0.26,11,1.58,10,0.7,13,0.15,2,0.08
"Basilicata",1,0,478,0,0,0,0,0,0,0,0,0
"Calabria",0,0,0,0,0,0,0,0,0,0,0,0
"Siciliy",75,84,94624,0.89,1,0.73,4,0.94,55,0.84,24,1.01
"Sardinia",15,1,17774,0.06,1,0.56,0,0,0,0,0,0
