"region","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"Piedmont",42,94,57087,1.65,19,6.99,22,3.64,45,1.33,8,0.55
"Aosta Valley",0,0,0,0,0,0,0,0,0,0,0,0
"Lombardy",126,106,177048,0.6,13,0.94,22,0.84,64,2.35,7,0.18
"AP Bolzano",3,2,5038,0.4,0,0,0,0,2,0.55,0,0
"AP Trento",13,35,15071,2.32,13,8.14,9,2.64,11,1.53,2,0.7
"Veneto",94,49,120955,0.41,5,0.53,6,0.29,34,0.52,4,0.15
"Friuli-Venezia Giulia",14,12,17636,0.68,1,0.68,8,2.58,3,1.34,0,0
"Liguria",32,32,40500,0.79,6,3.18,11,3.02,13,1.82,2,0.17
"Emilia Romagna",48,43,61717,0.7,8,2.02,5,0.5,28,0.84,2,0.14
"Tuscany",42,27,54799,0.49,2,0.84,2,0.4,21,2.18,2,0.14
"Umbria",9,7,10521,0.67,4,2.85,3,0.93,0,0,0,0
"Marche",9,31,11838,2.62,2,3.66,2,1.2,23,3.33,4,1.47
"Lazio",102,127,131071,0.97,19,300,23,1.56,78,0.96,7,0.25
"Abruzzo",22,37,22942,1.61,8,3.08,16,3.33,11,2.88,2,0.49
"Molise",15,50,17586,2.84,17,12.02,19,6.09,10,1.13,4,0.95
"Campania",58,245,72032,3.4,39,6.44,69,5.13,122,2.93,15,1.38
"Apulia",73,82,91731,0.89,8,1.5,23,2.09,43,2.01,8,0.44
"Basilicata",3,56,3935,14.23,5,69.44,7,35.53,31,11.01,13,15.28
"Calabria",1,0,1610,0,0,0,0,0,0,0,0,0
"Siciliy",53,105,68097,1.54,2,2.14,4,1.17,83,5.68,16,0.96
"Sardinia",16,86,18725,4.59,17,6.58,35,9.09,29,3.45,5,1.29
