"Region_ID","Region_Name","Region_Lat","Region_Lon","Age_Group","Vaccination_Coverage","Season","Source_File"
1,"Piemonte",45.0732745,7.680687483,"6_23 mesi","2","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"6_23 mesi","6.5","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"6_23 mesi","5.3","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"6_23 mesi","1.1","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
22,"Trento",46.06893511,11.12123097,"6_23 mesi","28.7","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
5,"Veneto",45.43490485,12.33845213,"6_23 mesi","10.2","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"6_23 mesi","15.9","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
7,"Liguria",44.41149315,8.9326992,"6_23 mesi","15.1","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
8,"Emilia-Romagna",44.49436681,11.3417208,"6_23 mesi","2.6","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
9,"Toscana",43.76923077,11.25588885,"6_23 mesi","16.4","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
10,"Umbria",43.10675841,12.38824698,"6_23 mesi","7.3","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
13,"Marche",43.61675973,13.5188753,"6_23 mesi","9.2","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
12,"Lazio",41.89277044,12.48366722,"6_23 mesi","16.2","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
13,"Abruzzo",42.35122196,13.39843823,"6_23 mesi","4.4","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
14,"Molise",41.55774754,14.65916051,"6_23 mesi","6.5","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
15,"Campania",40.83956555,14.25084984,"6_23 mesi","13.9","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
16,"Puglia",41.12559576,16.86736689,"6_23 mesi","12.1","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
17,"Basilicata",40.63947052,15.80514834,"6_23 mesi","3.6","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
18,"Calabria",38.90597598,16.59440194,"6_23 mesi","4.5","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
19,"Sicilia",38.11569725,13.3623566999999,"6_23 mesi","7.2","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
20,"Sardegna",39.21531192,9.110616306,"6_23 mesi","6.2","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
NA,"Italia",41.1698638,7.4272648,"6_23 mesi","9.2","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
1,"Piemonte",45.0732745,7.680687483,"2_4","3.8","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
2,"Valle d'Aosta",45.73750286,7.320149366,"2_4","14.2","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
3,"Lombardia",45.46679409,9.190347404,"2_4","22.1","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
21,"Bolzano",46.49933453,11.35662422,"2_4","2","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
22,"Trento",46.06893511,11.12123097,"2_4","31.9","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
5,"Veneto",45.43490485,12.33845213,"2_4","16.1","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
6,"Friuli-Venezia Giulia",45.6494354,13.76813649,"2_4","25.3","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
7,"Liguria",44.41149315,8.9326992,"2_4","54.4","2020/2021","https://www.salute.gov.it/new/sites/default/files/imported/C_17_bancheDati_37_2_1_file.pdf"
