"region","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"Piedmont",26,69,36140,1.91,12,8.72,27,9.71,24,1.08,6,0.61
"Aosta Valley",0,0,0,0,0,0,0,0,0,0,0,0
"Lombardy",120,93,176017,0.53,12,100,19,0.85,48,1.41,14,0.34
"AP Bolzano",6,2,10399,0.19,0,0,0,0,2,0.3,0,0
"AP Trento",6,7,7143,0.98,6,5.93,1,0.53,0,0,0,0
"Veneto",84,31,111339,0.28,2,0.29,5,0.34,23,0.36,1,0.04
"Friuli-Venezia Giulia",11,4,15788,0.25,0,0,1,0.49,3,0.71,0,0
"Liguria",36,26,44320,0.59,3,1.14,6,1.37,10,1.15,7,0.57
"Emilia Romagna",22,26,27958,0.93,8,3.64,5,0.98,11,0.77,2,0.32
"Tuscany",45,20,59484,0.34,3,1.08,0,0,12,1.11,5,0.33
"Umbria",7,0,7485,0,0,0,0,0,0,0,0,0
"Marche",6,9,7819,1.15,0,0,0,0,9,1.65,0,0
"Lazio",82,75,105544,0.71,9,1.66,10,0.85,49,0.74,7,0.31
"Abruzzo",19,29,19149,1.51,5,2.19,3,0.65,17,5.58,4,1.25
"Molise",9,12,9522,1.26,3,2.26,4,1.39,4,1.01,1,0.74
"Campania",47,51,57489,0.89,6,1.23,12,1.32,23,0.67,10,1.1
"Apulia",53,34,67654,0.5,5,1.8,3,0.53,21,1.37,5,0.36
"Basilicata",1,3,1109,2.71,0,0,0,0,2,2.8,1,3.5
"Calabria",3,27,4076,6.62,7,22.58,10,12.69,10,15.98,0,0
"Siciliy",53,103,71541,1.44,5,5.52,12,3.31,62,3.72,24,1.19
"Sardinia",3,10,2432,4.11,6,6.56,4,2.78,0,0,0,0
