"url_report","year_week","influenza_viruses","number_positive_samples","percent_detections_influenza_viruses"
NA,"2024-42","Influenza",22,"2.6"
NA,"2024-42","SARS-CoV-2",84,"10.1"
NA,"2024-42","RSV",1,"0.1"
NA,"2024-42","Rhinovirus",195,"36"
NA,"2024-42","Parainfluenzali",24,"4.4"
NA,"2024-42","Metapneumovirus",0,"0"
NA,"2024-42","Bocavirus",1,"0.2"
NA,"2024-42","Generic coronavirus",7,"1.3"
NA,"2024-42","Adenovirus",21,"3.9"
NA,"2024-42","Coinfections",19,NA
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","Influenza",20,"2"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","SARS-CoV-2",87,"8.9"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","RSV",7,"0.7"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","Rhinovirus",203,"30.9"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","Parainfluenzali",43,"6.5"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","Metapneumovirus",1,"0.2"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","Bocavirus",1,"0.2"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","Generic coronavirus",9,"1.4"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","Adenovirus",35,"5.4"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2024-43","Coinfections",37,NA
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","Influenza",40,"4"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","SARS-CoV-2",84,"8.5"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","RSV",7,"0.7"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","Rhinovirus",192,"28.7"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","Parainfluenzali",45,"6.7"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","Metapneumovirus",2,"0.3"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","Bocavirus",3,"0.6"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","Generic coronavirus",9,"1.3"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","Adenovirus",38,"5.7"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2024-44","Coinfections",35,NA
NA,"2024-45","Influenza",67,"7"
NA,"2024-45","SARS-CoV-2",72,"7.5"
NA,"2024-45","RSV",12,"1.2"
NA,"2024-45","Rhinovirus",152,"23"
NA,"2024-45","Parainfluenzali",31,"4.7"
NA,"2024-45","Metapneumovirus",0,"0"
NA,"2024-45","Bocavirus",0,"0"
NA,"2024-45","Generic coronavirus",12,"1.8"
NA,"2024-45","Adenovirus",21,"3.2"
NA,"2024-45","Coinfections",30,NA
