"url_report","year_week","flu_season","influenza_viruses","age_group","number_samples","number_detections_influenza_viruses"
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Influenza","<2",33,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Influenza","2_4",14,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Influenza","5_14",21,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Influenza","15_44",62,2
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Influenza","45_64",32,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Influenza",">65",15,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","RSV","<2",33,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","RSV","2_4",14,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","RSV","5_14",21,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","RSV","15_44",62,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","RSV","45_64",32,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","RSV",">65",15,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","SARS-CoV-2","<2",33,2
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","SARS-CoV-2","2_4",14,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","SARS-CoV-2","5_14",21,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","SARS-CoV-2","15_44",62,6
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","SARS-CoV-2","45_64",32,7
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","SARS-CoV-2",">65",15,2
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Rhinovirus","<2",33,12
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Rhinovirus","2_4",14,5
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Rhinovirus","5_14",21,5
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Rhinovirus","15_44",61,19
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Rhinovirus","45_64",32,9
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Rhinovirus",">65",15,5
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Metapneumovirus","<2",33,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Metapneumovirus","2_4",14,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Metapneumovirus","5_14",21,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Metapneumovirus","15_44",61,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Metapneumovirus","45_64",32,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Metapneumovirus",">65",15,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Altro","<2",33,11
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Altro","2_4",14,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Altro","5_14",21,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Altro","15_44",61,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Altro","45_64",32,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Altro",">65",15,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Coinfections","<2",NA,7
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Coinfections","2_4",NA,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Coinfections","5_14",NA,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Coinfections","15_44",NA,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Coinfections","45_64",NA,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-43.html","2025-43","2025-2026","Coinfections",">65",NA,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Influenza","<2",69,2
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Influenza","2_4",45,5
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Influenza","5_14",74,12
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Influenza","15_44",125,5
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Influenza","45_64",83,2
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Influenza",">65",38,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","RSV","<2",69,3
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","RSV","2_4",45,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","RSV","5_14",74,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","RSV","15_44",125,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","RSV","45_64",83,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","RSV",">65",38,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","SARS-CoV-2","<2",69,3
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","SARS-CoV-2","2_4",45,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","SARS-CoV-2","5_14",74,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","SARS-CoV-2","15_44",125,13
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","SARS-CoV-2","45_64",83,12
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","SARS-CoV-2",">65",38,6
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Rhinovirus","<2",69,21
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Rhinovirus","2_4",45,7
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Rhinovirus","5_14",74,12
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Rhinovirus","15_44",124,27
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Rhinovirus","45_64",83,17
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Rhinovirus",">65",38,7
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Metapneumovirus","<2",69,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Metapneumovirus","2_4",45,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Metapneumovirus","5_14",74,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Metapneumovirus","15_44",124,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Metapneumovirus","45_64",83,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Metapneumovirus",">65",38,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Altro","<2",69,24
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Altro","2_4",45,5
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Altro","5_14",74,3
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Altro","15_44",124,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Altro","45_64",83,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Altro",">65",38,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Coinfections","<2",NA,13
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Coinfections","2_4",NA,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Coinfections","5_14",NA,3
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Coinfections","15_44",NA,0
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Coinfections","45_64",NA,1
"https://github.com/fbranda/influnet/blob/main/flu-season/2025-2026/influnet_report/RespiVirNet_2025-44.html","2025-44","2025-2026","Coinfections",">65",NA,0
NA,"2025-45","2025-2026","Influenza","<2",115,2
NA,"2025-45","2025-2026","Influenza","2_4",91,14
NA,"2025-45","2025-2026","Influenza","5_14",139,25
NA,"2025-45","2025-2026","Influenza","15_44",208,16
NA,"2025-45","2025-2026","Influenza","45_64",153,6
NA,"2025-45","2025-2026","Influenza",">65",76,2
NA,"2025-45","2025-2026","RSV","<2",115,4
NA,"2025-45","2025-2026","RSV","2_4",91,0
NA,"2025-45","2025-2026","RSV","5_14",139,1
NA,"2025-45","2025-2026","RSV","15_44",208,0
NA,"2025-45","2025-2026","RSV","45_64",153,0
NA,"2025-45","2025-2026","RSV",">65",76,0
NA,"2025-45","2025-2026","SARS-CoV-2","<2",115,5
NA,"2025-45","2025-2026","SARS-CoV-2","2_4",91,1
NA,"2025-45","2025-2026","SARS-CoV-2","5_14",139,2
NA,"2025-45","2025-2026","SARS-CoV-2","15_44",208,17
NA,"2025-45","2025-2026","SARS-CoV-2","45_64",153,21
NA,"2025-45","2025-2026","SARS-CoV-2",">65",76,10
NA,"2025-45","2025-2026","Rhinovirus","<2",115,32
NA,"2025-45","2025-2026","Rhinovirus","2_4",91,20
NA,"2025-45","2025-2026","Rhinovirus","5_14",139,25
NA,"2025-45","2025-2026","Rhinovirus","15_44",207,49
NA,"2025-45","2025-2026","Rhinovirus","45_64",152,34
NA,"2025-45","2025-2026","Rhinovirus",">65",76,11
NA,"2025-45","2025-2026","Metapneumovirus","<2",115,1
NA,"2025-45","2025-2026","Metapneumovirus","2_4",91,0
NA,"2025-45","2025-2026","Metapneumovirus","5_14",139,0
NA,"2025-45","2025-2026","Metapneumovirus","15_44",207,0
NA,"2025-45","2025-2026","Metapneumovirus","45_64",152,0
NA,"2025-45","2025-2026","Metapneumovirus",">65",76,0
NA,"2025-45","2025-2026","Parainfluenzali","<2",101,14
NA,"2025-45","2025-2026","Parainfluenzali","2_4",73,7
NA,"2025-45","2025-2026","Parainfluenzali","5_14",115,6
NA,"2025-45","2025-2026","Parainfluenzali","15_44",201,3
NA,"2025-45","2025-2026","Parainfluenzali","45_64",142,5
NA,"2025-45","2025-2026","Parainfluenzali",">65",71,1
NA,"2025-45","2025-2026","Altro","<2",115,33
NA,"2025-45","2025-2026","Altro","2_4",91,6
NA,"2025-45","2025-2026","Altro","5_14",139,3
NA,"2025-45","2025-2026","Altro","15_44",207,3
NA,"2025-45","2025-2026","Altro","45_64",152,2
NA,"2025-45","2025-2026","Altro",">65",76,0
NA,"2025-45","2025-2026","Coinfections","<2",NA,23
NA,"2025-45","2025-2026","Coinfections","2_4",NA,5
NA,"2025-45","2025-2026","Coinfections","5_14",NA,5
NA,"2025-45","2025-2026","Coinfections","15_44",NA,0
